season,team,player,position,school,affiliation,pick,generation_adidas
2012,Chicago Fire,Austin Berry,Defender,University of Louisville,Chicago Fire Premier,9,0
2012,Chicago Fire,Lucky Mkosana,Forward,Dartmouth College,Michigan Bucks,23,0
2012,Chicago Fire,Hunter Jumper,Defender,University of Virginia,None,28,0
2012,Chivas USA,Casey Townsend,Forward,University of Maryland,None,5,0
2012,Colorado Rapids,Tony Cascio,Midfielder,University of Connecticut,None,14,0
2012,Columbus Crew SC,Ethan Finlay,Midfielder,Creighton University,Chicago Fire Premier,10,0
2012,Columbus Crew SC,Aubrey Perry,Defender,University of South Florida,None,26,0
2012,Columbus Crew SC,Kevan George,Midfielder,University of Central Florida,None,29,0
2012,D.C. United,Nick DeLeon,Midfielder,University of Louisville,Arizona Sahuaros,7,0
2012,FC Dallas,Matt Hedges,Defender,University of North Carolina-Chapel Hill,Reading United AC,11,0
2012,Houston Dynamo,Colin Rolfe,Forward,University of Louisville,None,18,0
2012,Houston Dynamo,Warren Creavalle,Midfielder,University of Central Florida,Carolina Dynamo,37,0
2012,Los Angeles Galaxy,Tommy Meyer,Defender,Indiana University,Chicago Fire Premier,19,0
2012,Los Angeles Galaxy,Kenney Walker,Midfielder,University of Louisville,Chicago Fire Premier,38,0
2012,Montreal Impact,Andrew Wenger,Forward,Duke University,None,1,1
2012,Montreal Impact,Calum Mallace,Midfielder,Marquette University,Chicago Fire Premier,20,0
2012,New England Revolution,Kelyn Rowe,Midfielder,UCLA,Washington Crossfire,3,1
2012,New England Revolution,Tyler Polak,Defender,Creighton University,Chicago Fire Premier,22,1
2012,New York Red Bulls,Ryan Meara,Goalkeeper,Fordham University,Jersey Express,31,0
2012,Philadelphia Union,Chandler Hoffman,Forward,UCLA,Orange County Blue Star,13,1
2012,Philadelphia Union,Greg Jordan,Midfielder,Creighton University,None,32,0
2012,Philadelphia Union,Raymon Gaddis,Defender,West Virginia University,Reading United,35,0
2012,Portland Timbers,Andrew Jean-Baptiste,Defender,University of Connecticut,None,8,1
2012,Portland Timbers,Brendan King,Midfielder,University of Notre Dame,Chicago Fire Premier,27,0
2012,Real Salt Lake,Enzo Martinez,Midfielder,University of North Carolina-Chapel Hill,None,17,1
2012,Real Salt Lake,Diogo de Almeida,Defender,Southern Methodist University,None,24,0
2012,Real Salt Lake,Sebastian Velasquez,Midfielder,Spartanburg Methodist College,None,36,0
2012,San Jose Earthquakes,Sam Garza,Forward,UC Santa Barbara,None,6,1
2012,San Jose Earthquakes,Jacob Hustedt,Midfielder,University of Washington,Ventura County Fusion,25,0
2012,San Jose Earthquakes,Chris Blais,Goalkeeper,University of South Florida,None,33,0
2012,Seattle Sounders FC,Andrew Duran,Defender,Creighton University,Des Moines Menace,15,0
2012,Seattle Sounders FC,Babayele Sodade,Forward,University of Alabama-Birmingham,Michigan Bucks,34,0
2012,Sporting Kansas City,Dominic Dwyer,Forward,University of South Florida,None,16,1
2012,Sporting Kansas City,Cyprian Hedrick,Defender,Coastal Carolina University,Fresno Fuego,30,0
2012,Toronto FC,Luis Silva,Midfielder,UC Santa Barbara,Orange County Blue Star,4,0
2012,Toronto FC,Aaron Maund,Defender,University of Notre Dame,Indiana Invaders,12,0
2012,Vancouver Whitecaps FC,Darren Mattocks,Forward,University of Akron,None,2,1
2012,Vancouver Whitecaps FC,Chris Estridge,Defender,Indiana University,Chicago Fire Premier,21,0
2014,Chicago Fire,Marco Franco,Defender,UC Irvine,OC Blues Strikers FC,13,0
2014,Chicago Fire,Zach Bolden,Midfielder,Denver,None,61,0
2014,Chicago Fire,Kadeem Dacres,Forward,UMBC,Reading United,65,0
2014,Chicago Fire,Bryan Ciesiulka,Midfielder,Marquette,Chicago Fire Premier,75,0
2014,Chivas USA,Thomas McNamara,Midfielder,Clemson,Jersey Express,20,0
2014,Chivas USA,Kris Tyrpak,Forward,Houston Baptist,Austin Aztex,40,0
2014,Chivas USA,Michael Nwiloh,Defender,Georgia State,None,59,0
2014,Colorado Rapids,Marlon Hairston,Midfielder,Louisville,None,12,1
2014,Colorado Rapids,Grant Van De Casteele,Defender,Notre Dame,None,19,0
2014,Colorado Rapids,Jared Watts,Midfielder,Wake Forest,None,33,0
2014,Colorado Rapids,John Berner,Goalkeeper,SIU-Edwardsville,St. Louis Lions,35,0
2014,Colorado Rapids,Tolani Ibikunle,Defender,Wake Forest,Reading United,49,0
2014,Colorado Rapids,Albert Edward,Defender,Lindsey Wilson College,Des Moines Menace,68,0
2014,Columbus Crew SC,Ben Sweat,Defender,USF,Reading United,14,0
2014,Columbus Crew SC,Fifi Baiden,Midfielder,UC Santa Barbara,None,42,0
2014,Columbus Crew SC,Adam Bedell,Forward,Detroit-Mercy,Detroit City FC,45,0
2014,D.C. United,Steve Birnbaum,Defender,California,Orange County Blue Star,2,0
2014,D.C. United,Victor Munoz,Midfielder,UCLA,OC Blues Strikers FC,29,0
2014,D.C. United,Zach Barnes,Midfielder,Creighton,Portland Timbers U23,56,0
2014,D.C. United,Travis Golden,Defender,Campbell,Austin Aztex,69,0
2014,FC Dallas,Tesho Akindele,Forward,Colorado School of Mines,Real Colorado Foxes,6,0
2014,FC Dallas,Nick Walker,Defender,Fairleigh Dickinson,Michigan Bucks,43,0
2014,FC Dallas,Ronny Santos Mendoza,Defender,Manta FC,None,62,0
2014,Houston Dynamo,A.J. Cochran,Defender,Wisconsin,K-W United FC,16,1
