,Unnamed: 0,assists,class_year,corners,d_saves,division_id,fouls,g_loss,g_wins,ga,gaa,gc,ggs,goal_app,goalie_min_played,goals,gp,gs,gwg,jersey_number,ncaa_name,player_name,points,ps,psa,red_cards,save_pct,saves,school,season,sh_att,shutouts,team_name,year,yellow_cards
0,0, ,Jr, , ,1,9, , ,,, , , , ,3,21.0,21.0,2,2,AJ Cochran,"Cochran, AJ",6.0, , , ,, ,Wisconsin,2014,16, ,Wisconsin,2014,1
1,1,7,Sr, , ,1,1, , ,,, , , , ,3,22.0,22.0, ,10,A.J. Corrado,"Corrado, A.J.",13.0, , , ,, ,Indiana,2014,34, ,Indiana,2014,1
2,2,1,Sr, , ,1, , , ,,, , , , ,3,17.0,4.0, ,9,Adnan Gabeljic,"Gabeljic, Adnan",7.0, , , ,, ,Saint Louis,2014,20, ,Saint Louis,2014, 
3,3,8,Sr, , ,1, , , ,,, , , , ,2,17.0,17.0, ,15,Alex Martinez,"Martinez, Alex",12.0, , , ,, ,North Carolina St.,2014,29, ,North Carolina St.,2014,2
4,4, ,Jr, , ,1, ,3,10,17.0,0.7490000000000001, ,21,21,2043:32, ,21.0,21.0, ,18,Andre Blake,"Blake, Andre",0.0, , , ,0.696,39,UConn,2014, ,10,UConn,2014,1
5,5,1,Sr, , ,1, , , ,,, , , , ,7,18.0,15.0,3,10,Aodhan Quinn,"Quinn, Aodhan",15.0,1,2, ,, ,Akron,2014,57, ,Akron,2014,2
6,6, ,Sr, , ,1, , , ,,, , , , ,1,21.0,21.0, ,22,Ben Sweat,"Sweat, Ben",2.0, , , ,, ,South Fla.,2014,10, ,South Fla.,2014, 
7,7,3,Sr, , ,1, , , ,,, , , , , ,15.0,14.0, ,18,Chris Duvall,"Duvall, Chris",3.0, , , ,, ,Wake Forest,2014,8, ,Wake Forest,2014,2
8,8,2,Jr, , ,1, , , ,,, , , , ,5,19.0,19.0,3,31,Damion Lowe,"Lowe, Damion",12.0, , ,1,, ,Hartford,2014,23, ,Hartford,2014,7
9,9,1,Sr, , ,1, , , ,,, , , , ,1,17.0,16.0, ,5,Fifi Baiden,"Baiden, Fifi",3.0, , ,1,, ,UC Santa Barbara,2014,9, ,UC Santa Barbara,2014,2
